,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent
704,705,Bottlenose,"NOA0005629, AZA 568, MLF-462",Cassidy,F,actual,1996,Born,1996-04-08,Marineland Florida,,Marineland Florida,Died,1997-12-26,Acute colitis,1996-04-08,627.0
705,706,Bottlenose,NOA0005887,Ariel's Calf,F,actual,2000,Born,2000-05-21,Marineland Florida,,Marineland Florida,Died,2000-05-21,-,2000-05-21,0.0
706,707,Bottlenose,"NOA0006018, AZA 820, MPF-107",Roxy's Calf,F,actual,2002,Born,2002-05-08,Marineland Florida,,Marineland Florida,Died,2002-05-11,Peracute bacterial pneumonia,2002-05-08,3.0
709,710,Bottlenose,"NOA0006610, AZA ????, MSTT1001",Hollywood's Calf,F,actual,2010,Miscarriage,2010-02-28,Miami Seaquarium,,Miami Seaquarium,Miscarriage,2010-02-28,-,2010-02-28,0.0
710,711,Bottlenose,"NOA0003880, AZA 115, TT-29 (Sea-Arama)",Sigma,U,estimate,1972,Capture,1975-08-01,"Gulf of Mexico, TX, US","Texas, Gulf of Mexico to Sea-Arama (01-Aug-1975) to Six Flags Over Texas (09-Mar-1990) to Mirage Dolphin Habitat (18-Oct-1990?)",Mirage Dolphin Habitat,Died,2004-03-21,Age-related heart failure,1975-08-01,10460.0
711,712,Bottlenose,"NOA0003881, AZA 116",Banjo,M,estimate,1972,Capture,1978-11-09,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Quinlan Marine Attractions (09-Nov-1978) to Dinnes, probably Dolphin Connection (18-Jan-1982) to Mirage Dolphin Habitat (18-Oct-1990)",Mirage Dolphin Habitat,Died,2004-10-12,Age-related heart failure,1978-11-09,9469.0
712,713,Bottlenose,"NOA0003882, AZA 206, MD-2",Merlin,M,estimate,1978,Capture,1982-10-27,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Dinnes, Dolphin Connection (27-Oct-1982) to Mirage Dolphin Habitat (18-Oct-1990)",Mirage Dolphin Habitat,Died,1994-10-27,Broncho-interstitial fungal pneumonia,1982-10-27,4383.0
713,714,Bottlenose,"NOA0003884, AZA 270",Darla,F,estimate,1981,Capture,1985-06-27,Gulf of Mexico,Gulf of Mexico to Dolphin Connection (27-Jun-1985) to Mirage Dolphin Habitat (18-Oct-1990),Mirage Dolphin Habitat,Died,1999-04-05,Severe chronic necrotizing pancreatitis,1985-06-27,5030.0
714,715,Bottlenose,"NOA0003885, AZA 455",Squirt,M,actual,1991,Born,1991-04-05,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,2006-04-28,Euthanasia,1991-04-05,5502.0
715,716,Bottlenose,NOA0003886,Darla's Calf,U,actual,1991,Born,1991-04-07,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,1991-04-21,"Pulmonary edema, interstitial pneumonia",1991-04-07,14.0
716,717,Bottlenose,"NOA0003887, AZA 1053",Sigma's Calf,U,actual,1992,Stillbirth,1992-05-23,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Stillbirth,1992-05-23,-,1992-05-23,0.0
717,718,Bottlenose,"NOA0003888, AZA 522",Picabo,F,actual,1994,Born,1994-03-14,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,2004-07-02,acute septic peritonitis (foreign object ingestion),1994-03-14,3763.0
718,719,Bottlenose,"NOA0003889, AZA 524",Bugsy,U,actual,1994,Born,1994-03-31,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,1997-07-05,Pulmonary abscess,1994-03-31,1192.0
719,720,Bottlenose,"NOA0005703, AZA 624",Sage,F,actual,1997,Born,1997-05-24,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,2008-07-05,-,1997-05-24,4060.0
720,721,Bottlenose,"NOA0006078, AZA 783, R-01-01",Rascal,M,actual,2001,Born,2001-05-15,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,2004-12-03,-,2001-05-15,1298.0
721,722,Bottlenose,"NOA0006140, AZA 879, SWF-TT-0302",Beetle,M,actual,2003,Born,2003-08-11,SeaWorld Orlando,SeaWorld Orlando to Mirage Dolphin Habitat (28-Mar-2010),Mirage Dolphin Habitat,Died,2015-10-27,Acute pancreatitis,2003-08-11,4460.0
722,723,Bottlenose,"NOA0006399, AZA 1182, SG-07-01",Sgt. Pepper,M,actual,2007,Born,2007-06-08,Mirage Dolphin Habitat,,Mirage Dolphin Habitat,Died,2009-06-03,"Fungal tracheitis, pneumonia",2007-06-08,726.0
723,724,Killer Whale; Orca,"NOA0002510, SWF-OO-13",Ramu,M,estimate,1963,Capture,1967-02-15,"Yukon Harbor, WA, US","Sea Pen, Yukon Harbor to Seattle Marine Aquarium (24-Feb-1967) to SeaWorld San Diego (11-Mar-1967) to SeaWorld Orlando (June 1975?)",SeaWorld Orlando,Died,1982-01-12,Cardiopulmonary decomposition,1967-02-15,5445.0
724,725,Bottlenose,"NOA0002578, SWF1",Swf,U,estimate,,Capture,1972-03-01,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1976-03-15,Vaccine reaction,1972-03-01,1475.0
725,726,Bottlenose,"NOA0002575,SWF14",Swf,U,estimate,,Capture,1972-03-01,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1976-03-31,Erysipelas,1972-03-01,1491.0
726,727,Bottlenose,"NOA0002576, SWF16",Swf,U,estimate,,Capture,1972-03-01,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1976-03-27,Chronic nephritis,1972-03-01,1487.0
727,728,Bottlenose,"NOA0002574, SWF-19",Swf,U,estimate,,Capture,1972-03-01,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1976-04-03,Hepatitis,1972-03-01,1494.0
728,729,Killer Whale; Orca,"NOA0002513, 27",Canuck,M,estimate,1970,Capture,1972-03-12,"Carr Inlet, WA, US",Carr Inlet to Seattle Marine Aquarium (12-Mar-1972) to SeaWorld San Diego (13-Apr-1972) to SeaWorld Aurora (06-May-1973) to SeaWorld Orlando (15-Nov-1973),SeaWorld Orlando,Died,1974-12-01,"Anemia, fungal infection",1972-03-12,994.0
729,730,Bottlenose,"NOA0002622, SWF-20",,M,estimate,,Capture,1972-04-15,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando (15-Apr-1972)",SeaWorld Orlando,Died,1974-08-31,Lung abscess,1972-04-15,868.0
730,731,Bottlenose,"NOA0002618, SWF 3",Swf ,U,estimate,,Capture,1972-06-01,"Unknown, US",Unknown to SeaWorld Orlando (??-???-????),SeaWorld Orlando,Died,1976-03-13,Vaccine reaction,1972-06-01,1381.0
731,732,Bottlenose,"NOA0002762, NOA0003910, MH-74-07-TT, 74-07",Spit,F,estimate,1966,Capture,1972-06-09,Florida Keys,Florida Keys to Dolphin Research Center (09-Jun-1972) to New England Aquarium (13-Feb-1974) to SeaWorld Orlando (18-Feb-1983),SeaWorld Orlando,Died,1983-12-18,"Multiple system failure, old age",1972-06-09,4209.0
732,733,Bottlenose,"NOA0002623, SWF-21",Juanita,F,estimate,,Capture,1972-12-15,"Unknown, US",Unknown to SeaWorld Orlando (15-Dec-1972),SeaWorld Orlando,Died,1974-10-07,Lung abscess,1972-12-15,661.0
733,734,Bottlenose,"NOA0002655, SWF-24",,M,estimate,,Capture,1972-12-16,"Unknown, US","Unknown, probably Florida to Unknown Holder to SeaWorld Orlando? (28-Jun-1979)",SeaWorld Orlando,Died,1979-06-28,Acute purulent bacterial pneumonia,1972-12-16,2385.0
734,735,Bottlenose,NOA0002587,,F,estimate,,Capture,1973-09-07,Florida Keys,Florida Keys to SeaWorld Orlando (07-Sep-1973),SeaWorld Orlando,Died,1976-03-15,Vaccine reaction,1973-09-07,920.0
735,736,Bottlenose,NOA0002585,,M,estimate,,Capture,1973-09-09,Florida Keys,Florida Keys to SeaWorld Orlando (09-Sep-1973),SeaWorld Orlando,Died,1994-11-21,Cardiovascular collapse,1973-09-09,7743.0
736,737,Bottlenose,"NOA0002588, 3",,F,estimate,,Capture,1973-09-10,Florida Keys,Florida Keys to SeaWorld Orlando (10-Sep-1973),SeaWorld Orlando,Died,1976-03-13,Vaccine reaction,1973-09-10,915.0
737,738,Bottlenose,"NOA0002620, SWF 4",,F,estimate,,Capture,1973-09-10,Florida Keys,Florida Keys to SeaWorld Orlando (10-Sep-1973),SeaWorld Orlando,Died,1976-02-29,Enteritis,1973-09-10,902.0
738,739,Bottlenose,"NOA0002590, 5",,F,estimate,,Capture,1973-09-13,Florida Keys,Florida Keys to SeaWorld Orlando (13-Sep-1973),SeaWorld Orlando,Died,1973-10-28,Hepatitis,1973-09-13,45.0
739,740,Bottlenose,NOA0002591,,F,estimate,,Capture,1973-09-14,Florida Keys,Florida Keys to SeaWorld Orlando (14-Sep-1973),SeaWorld Orlando,Died,1973-12-21,Shock syndrome,1973-09-14,98.0
740,741,Bottlenose,NOA0002586,,M,estimate,,Capture,1973-09-16,Florida Keys,Florida Keys to SeaWorld Orlando (16-Sep-1973),SeaWorld Orlando,Died,1975-12-23,"Heart issue, unspecified",1973-09-16,828.0
741,742,Bottlenose,NOA0002593,,F,estimate,,Capture,1973-09-18,Florida Keys,Florida Keys to SeaWorld Orlando (18-Sep-1973),SeaWorld Orlando,Died,1977-09-06,-,1973-09-18,1449.0
742,743,Bottlenose,"NOA0002594, 10",,F,estimate,,Capture,1973-09-19,Florida Keys,Florida Keys to SeaWorld Orlando (19-Sep-1973),SeaWorld Orlando,Died,1975-05-15,Lung abscess,1973-09-19,603.0
743,744,Bottlenose,NOA0002595,,F,estimate,,Capture,1973-09-19,Florida Keys,Florida Keys to to SeaWorld Orlando (19-Sep-1973),SeaWorld Orlando,Died,1973-12-26,Lung abscess,1973-09-19,98.0
744,745,Bottlenose,"NOA0002596, SWF-TT-12",Mary,M,estimate,,Capture,1973-09-20,Florida Keys,Florida Keys to SeaWorld Orlando (20-Sep-1973),SeaWorld Orlando,Died,1984-07-20,abdominal abscess,1973-09-20,3956.0
745,746,Bottlenose,NOA0002598,,F,estimate,,Capture,1973-09-23,Florida Keys,Florida Keys to SeaWorld Orlando (23-Sep-1973),SeaWorld Orlando,Died,1976-03-13,Vaccine reaction,1973-09-23,902.0
746,747,Bottlenose,NOA0002597,,F,estimate,,Capture,1973-09-23,Florida Keys,Florida Keys to SeaWorld Orlando (23-Sep-1973),SeaWorld Orlando,Died,1979-08-06,Pulmonary infection,1973-09-23,2143.0
747,748,Killer Whale; Orca,"NOA0002835, T009, SWF-OO-8701",Kanduke,M,estimate,1971,Capture,1975-08-16,"Pedder Bay, BC, Canada","Pedder Bay, British Columbia to Holding Pens, Pedder Bay (16-Aug-1975) to Marineland of Canada (18-Sep-1975) to SeaWorld Orlando (09-Jan-1987)",SeaWorld Orlando,Died,1990-09-20,Viral infection,1975-08-16,5514.0
748,749,Killer Whale; Orca,NOA0002920,Gudrun,F,estimate,1975,Capture,1976-10-25,"Iceland, Medallandsbugt","Iceland, North Atlantic, off Medallandsbugt to Floating Pen, Grindavík Harbor (25-Oct-1976) to Dolfinarium Harderwijk (13-Nov-1976)  to SeaWorld Orlando (17-Nov-1987)",SeaWorld Orlando,Died,1996-02-25,Complications following a stillbirth,1976-10-25,7062.0
749,750,Killer Whale; Orca,"NOA0002506, SWC-OO-7602",Kenau,F,estimate,1975,Capture,1976-10-25,"Iceland, Medallandsbugt","Iceland, North Atlantic, off Medallandsbugt to Floating Pen, Grindavík Harbor (25-Oct-1976) to Dolfinarium Harderwijk (13-Nov-1976) to SeaWorld San Diego (??-May-1977) to SeaWorld Aurora (16-Apr-1978) to SeaWorld San Diego (~ Sep 1978) to SeaWorld Aurora (~ Apr 1979) to SeaWorld San Diego (~ Sep 1979) to SeaWorld Aurora (~ Apr 1980) to SeaWorld San Diego (~ Sep 1980) to SeaWorld Aurora (~ Apr 1981) to SeaWorld San Diego (~ Sep 1981) to SeaWorld San Antonio (??-Feb-1988) to SeaWorld Orlando (??-Jan-1991)",SeaWorld Orlando,Died,1991-08-06,Bacterial pneumonia,1976-10-25,5398.0
750,751,Bottlenose,"NOA0002838, UNK0001053, AZA 80, SWF-TT-8601",Spanky,F,estimate,1968,Capture,1976-12-13,Unknown,Unknown to Dinnes (??) to SeaWorld Orlando (26-Feb-1986),SeaWorld Orlando,Died,1992-01-24,"Iron-storage disorder, severe renal stones",1976-12-13,5520.0
751,752,Bottlenose,"NOA0002674, SWF-TT-7703",Mac,M,estimate,,Capture,1977-01-06,"Unknown, US",Eastern Florida to SeaWorld Orlando (06-Jan-1977),SeaWorld Orlando,Died,1987-06-16,"Possible enterocolitis, with toxemia",1977-01-06,3813.0
752,753,Bottlenose,"NOA0002676, SWF-TT-7705",Tanya,F,estimate,1973,Capture,1977-01-08,"Unknown, US",Eastern Florida to SeaWorld Orlando (08-Jan-1977),SeaWorld Orlando,Died,2005-02-20,Acute bronchopneumonia,1977-01-08,10270.0
753,754,Bottlenose,SWF-TT-7704,,U,estimate,,Capture,1977-01-08,"Unknown, US",Eastern Florida to SeaWorld Orlando (08-Jan-1977),SeaWorld Orlando,Died,1987-06-16,Trauma resulting in a ruptured heart,1977-01-08,3811.0
754,755,Bottlenose,"NOA0002678, SWF-TT-7708",,F,estimate,,Capture,1977-04-16,"Unknown, US",Eastern Florida to SeaWorld Orlando (16-Apr-1977),SeaWorld Orlando,Died,1983-02-28,"Old age, chronic senile changes",1977-04-16,2144.0
755,756,Bottlenose,"NOA0002679, SWF-TT-7709",,M,estimate,1972,Capture,1977-04-17,"Unknown, US",Eastern Florida to SeaWorld Orlando (17-Apr-1977),SeaWorld Orlando,Died,1982-08-03,-,1977-04-17,1934.0
756,757,Bottlenose,"NOA0002680, SWF-TT-7720",Gigi,F,estimate,1972,Capture,1977-05-05,"Unknown, US",Eastern Florida to SeaWorld Orlando (05-May-1977),SeaWorld Orlando,Died,1983-02-07,Chronic parasitic gastritis and nephritis,1977-05-05,2104.0
757,758,Bottlenose,"NOA0002681, SWF-TT-7722",,F,estimate,,Capture,1977-05-05,"Unknown, US",Eastern Florida to SeaWorld Orlando (05-May-1977),SeaWorld Orlando,Died,1983-08-05,Bacterial septicemia,1977-05-05,2283.0
758,759,Bottlenose,"NOA0002685, SWF-TT-7723",Shannon,F,estimate,1975,Capture,1977-09-14,"Unknown, US",Eastern Florida to SeaWorld Orlando (14-Sep-1977),SeaWorld Orlando,Died,1988-09-25,"Recurrent mucor infection, possible immune dis.",1977-09-14,4029.0
759,760,Killer Whale; Orca,"NOA0002507, SWF-OO-7701",Kona Ii,F,estimate,1975,Capture,1977-10-12,"Iceland, Ingolfshöfdi","Iceland, North Atlantic, off Ingolfshöfdi to Floating Pen, Grindavík Harbor (??-Oct-1977) to Dolfinarium Harderwijk (12-Oct-1977) to SeaWorld Orlando (~ Dec 1977)",SeaWorld Orlando,Died,1987-10-15,-,1977-10-12,3655.0
760,761,Bottlenose,"NOA0002642, 28",,F,estimate,,Capture,1978-03-01,"Indian River, FL",Eastern Florida to SeaWorld Orlando (01-Mar-1978),SeaWorld Orlando,Died,1978-03-01,Pancreatitis and pneumonitis (Capture shock?),1978-03-01,0.0
761,762,Bottlenose,"NOA0002763, MH-82-221-TT",Bonnie,F,estimate,1972,Capture,1978-04-04,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy (19-Apr-1978) to New England Aquarium (01-Nov-1982) to SeaWorld Orlando (18-Feb-1983)",SeaWorld Orlando,Died,1991-01-16,Terminal cardiovascular collapse,1978-04-04,4670.0
762,763,Bottlenose,"NOA0002645, 29",,F,estimate,,Capture,1978-08-23,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (23-Aug-1978)",SeaWorld Orlando,Died,1978-11-24,Parasites,1978-08-23,93.0
763,764,Bottlenose,"NOA0002687, SWF-TT-7802",Wendy,F,estimate,1973,Capture,1978-08-24,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (24-Aug-1978)",SeaWorld Orlando,Died,1983-02-17,"Purulent mastitis, septicemia",1978-08-24,1638.0
764,765,Bottlenose,"NOA0002686, SWF-TT-801",,F,estimate,,Capture,1978-08-24,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (24-Aug-1978)",SeaWorld Orlando,Died,1979-04-02,Myositis,1978-08-24,221.0
765,766,Bottlenose,"NOA0002650, 38",,F,estimate,,Capture,1978-08-25,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (25-Aug-1978) to SeaWorld Orlando (03-Oct-1978)",SeaWorld Orlando,Died,1978-10-03,-,1978-08-25,39.0
766,767,Bottlenose,"NOA0002688, SWF-TT-901",,F,estimate,,Capture,1979-02-14,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (14-Feb-1979)",SeaWorld Orlando,Died,1980-08-03,"Pneumonitis, hemorrhages in adrenal cortex, lungs, stomach",1979-02-14,536.0
767,768,Bottlenose,"NOA0002689, SWF-TT-902",,F,estimate,,Capture,1979-02-15,"Indian River, FL","Indian River, Florida to SeaWorld Orlando (15-Feb-1979)",SeaWorld Orlando,Died,1979-08-14,Hepatitis,1979-02-15,180.0
768,769,Beluga,"NOA0002494, SWF-DL-7904",Spooky,F,estimate,,Capture,1979-07-24,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (25-Jul-1979) to SeaWorld San Antonio (1991?) to SeaWorld Orlando (05-May-1995)",SeaWorld Orlando,Died,2007-11-09,Acute fungal encephalitis,1979-07-24,10335.0
769,770,"White-sided, Pacific","NOA0002535, SWC-LO-8006, LO-86",,F,estimate,,Capture,1980-01-22,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (22-Jan-1980) to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1983-10-22,-,1980-01-22,1369.0
770,771,Bottlenose,"NOA0002656, SWF-TT-8005",,F,estimate,,Capture,1980-05-05,"Unknown, US",Eastern Florida to SeaWorld Orlando (05-May-1980),SeaWorld Orlando,Died,1982-09-07,Peritonitis,1980-05-05,855.0
771,772,Bottlenose,"NOA0002665, 83",,F,estimate,,Capture,1980-05-08,"Unknown, US",Eastern Florida to SeaWorld Orlando (08-May-1980),SeaWorld Orlando,Died,1980-05-08,Enteritis,1980-05-08,0.0
772,773,Bottlenose,"NOA0002660, SWF-TT-8009",Fiona,F,estimate,,Capture,1980-05-10,"Unknown, US",Eastern Florida to SeaWorld Orlando (10-May-1980),SeaWorld Orlando,Died,1984-10-05,"Metritis, mastitis, pneumonia",1980-05-10,1609.0
773,774,Bottlenose,"NOA0002724, SWC-TT-8011",Atilla,F,actual,1980,Born,1980-05-13,SeaWorld San Diego,"SeaWorld San Diego to Sea World Marine Institue, Keys (??-???-????) to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1987-09-11,"Kidney compromise, necr. dermatitis, septicemia",1980-05-13,2677.0
774,775,Bottlenose,"NOA0002663, SWF-TT-8021",,M,estimate,,Capture,1980-05-13,"Unknown, US",Eastern Florida to SeaWorld Orlando (13-May-1980),SeaWorld Orlando,Died,1983-03-08,"Cardiopulmonary decomposition, old age",1980-05-13,1029.0
775,776,Bottlenose,"NOA0003415, COLLECTORS ID F2",Nova,F,estimate,,Capture,1980-07-12,Florida,"Florida, location unknown to Marine Animal Productions (12-Jul-1980) to Dolphin Research Center (03-Nov-1980) to University of Guelph (20-Feb-1984) to New England Aquarium (30-Jun-1984) to SeaWorld Orlando (24-Oct-1986)",SeaWorld Orlando,Died,2006-07-31,Chronic interstitial nephritis,1980-07-12,9515.0
776,777,Bottlenose,"NOA0003414, COLLECTOR ID F1",Sona,F,estimate,1976,Capture,1980-07-12,Florida,"Florida, location unknown to Marine Animal Productions (12-Jul-1980) to Dolphin Research Center (03-Nov-1980) to University of Guelph (20-Feb-1984) to New England Aquarium (30-Jun-1984) to SeaWorld Orlando (24-Oct-1986)",SeaWorld Orlando,Died,1986-12-25,Hepatitis and pancreatitis,1980-07-12,2357.0
777,778,Bottlenose,"NOA0002715, SWF-TT-8102",Louise,F,estimate,1977,Capture,1981-05-11,"Unknown, US",Eastern Florida to SeaWorld Orlando (11-May-1981),SeaWorld Orlando,Died,1999-01-14,Perforated ulcer,1981-05-11,6457.0
778,779,Bottlenose,"NOA0002713, SWF-TT-8101",,F,estimate,,Capture,1981-05-11,"Unknown, US",Eastern Florida to SeaWorld Orlando (11-May-1981),SeaWorld Orlando,Died,1985-11-22,"Septicemia, pyometra",1981-05-11,1656.0
779,780,Bottlenose,"NOA0002761, 82-35",Orion,M,actual,1982,Born,1982-02-22,New England Aquarium,New England Aquarium to SeaWorld Orlando (18-Feb-1983),SeaWorld Orlando,Died,1984-01-10,"Pneumonia, valvular endocarditis",1982-02-22,687.0
780,781,Bottlenose,"NOA0002748, RESEARCH X-8",,F,estimate,,Capture,1982-05-28,"Unknown, US",Eastern Florida to SeaWorld Orlando (28-May-1982),SeaWorld Orlando,Died,1982-05-29,"Pneumonitis, pancreatitis",1982-05-28,1.0
781,782,Bottlenose,"NOA0002751, RESEARCH X-12",,F,estimate,,Capture,1982-07-21,"Unknown, US",Eastern Florida to SeaWorld Orlando (21-Jul-1982) 2),SeaWorld Orlando,Died,1982-07-30,"Possible septicemia, pancreatitis",1982-07-21,9.0
782,783,Bottlenose,"NOA0002752, RESEARCH X-13",,F,estimate,,Capture,1982-07-22,"Unknown, US",Eastern Florida to SeaWorld Orlando (22-Jul-1982),SeaWorld Orlando,Died,1982-07-31,"Pneumonia, septicemia, pancreatitis",1982-07-22,9.0
783,784,Killer Whale; Orca,"NOA0003070, SWF-OO-9301",Nootka Iv,F,estimate,1979,Capture,1982-10-01,"Iceland, Héraösflói","Iceland, North Atlantic to Sædyrasafnid/Hafnarfjörður Marine Zoo (??-Oct-1982) to Sealand of the Pacific (??-Mar-1983) to SeaWorld Orlando (07-Jan-1993)",SeaWorld Orlando,Died,1994-09-13,Complications following a stillbirth,1993-01-07,4365.0
784,785,Pseudorca,"NOA0002758, SWC-PC-8327",Hana,F,estimate,,Capture,1982-12-31,"Pacific Ocean, Japan","Japan, Pacific Ocean to Kamogawa Sea World (1982 / 1983) to SeaWorld San Diego (20-Mar-1983) to SeaWorld Orlando (??-Oct-1985)",SeaWorld Orlando,Died,1996-05-25,Gastric torsion,1983-03-20,4894.0
785,786,Pseudorca,"NOA0002760, SWC-PC-8329",Yaki,F,estimate,,Capture,1982-12-31,"Pacific Ocean, Japan","Japan, Pacific Ocean to Kamogawa Sea World (1982 / 1983) to SeaWorld San Diego (20-Mar-1983) to SeaWorld Orlando (??-Oct-1985)",SeaWorld Orlando,Died,1989-12-05,Hemorrhagic colitis,1983-03-20,2531.0
786,787,Pseudorca,"NOA0002800, KSW No. 2, SWC-PC-8527",Suki,F,estimate,1981,Capture,1983-02-21,"Taiji, Japan","Japan, Hatakejiriwan to Holding pens, Taiji (22-Feb-1983) to Kamogawa Sea World (03-Mar-1983) to SeaWorld San Diego (24-Feb-1985)",SeaWorld Orlando,Died,2005-05-25,Euthanasia: Life threatening condition involving pain/suffering,1983-02-21,8129.0
787,788,Pseudorca,"NOA0002799, KSW No. 1, SWC-PC-8526",Teri,M,estimate,1981,Capture,1983-02-21,"Taiji, Japan","Japan, Hatakejiriwan to Holding pens, Taiji (22-Feb-1983) to Kamogawa Sea World (03-Mar-1983) to SeaWorld San Diego (24-Feb-1985)",SeaWorld Orlando,Died,2002-07-25,Hemorrhagic pneumonia,1983-02-21,7094.0
788,789,Bottlenose,"NOA0003054, 04-937",Starkey,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, location unknown to Unknown holder, Florida (13-Aug-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992)",SeaWorld Orlando,Died,2012-10-15,Epithelial neoplasia (cancer),1983-08-13,10656.0
789,790,Bottlenose,"NOA0003056, 04-939",Mimi,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, location unknown to Unknown holder, Florida (20-Oct-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992)",SeaWorld Orlando,Died,2004-03-07,Chronic extensive pneumonia,1983-08-13,7512.0
790,791,Bottlenose,"NOA0001293, SWF TT-8304",Darla,F,estimate,1978,Capture,1983-10-07,"Unknown, US",Eastern Florida to SeaWorld Orlando (07-Oct-1983),SeaWorld Orlando,Died,1990-08-01,Uterine rupture,1983-10-07,2490.0
791,792,Killer Whale; Orca,"NOA0002817, SWF-OO-8501",Kalina,F,actual,1985,Born,1985-09-26,SeaWorld Orlando,SeaWorld Orlando to SeaWorld Aurora (??-Feb-1990) to SeaWorld San Diego (??-Oct-1990) to SeaWorld San Antonio (30-May-1991) to SeaWorld Orlando (??-Oct-1994),SeaWorld Orlando,Died,2010-10-04,Peracute bacteremia and septicemia,1985-09-26,9139.0
792,793,Bottlenose,"NOA0002860, SWC-TT-8727",Sabrina,F,estimate,1982,Capture,1986-01-23,Florida,"Florida, location unknown to Marineland of the Pacific (23-Jan-1986) to SeaWorld San Diego (10-Feb-1987) to SeaWorld Orlando (08-Jun-1996)",SeaWorld Orlando,Died,2013-01-29,Bronchopneumonia,1986-01-23,9868.0
794,795,Bottlenose,"NOA0002836, SWF-TT-8603",Shaleste,F,actual,1986,Born,1986-06-26,SeaWorld Orlando,,SeaWorld Orlando,Died,1992-07-29,Hemorrhagic enterocolitis,1986-06-26,2225.0
795,796,Pseudorca,"NOA0002910, SWF-PC-8726",Zori,F,estimate,,Capture,1987-01-01,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding facility, Japan (~ 1987) to SeaWorld San Diego (12-Apr-1987) to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1990-04-16,Severe suppurative bronchopneumonia,1987-01-01,1201.0
796,797,Pseudorca,"NOA0002954, KSW No. 10, SWC-PC-8826",Cassie,F,estimate,1984,Capture,1987-03-19,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding pens, Taiji (19-Mar-1987) to Kamogawa Sea World (27-Mar-1987) to SeaWorld San Diego (20-Nov-1988) to SeaWorld Orlando (22-Oct-1994?)",SeaWorld Orlando,Died,2008-12-22,-,1987-03-19,7949.0
797,798,Bottlenose,"NOA0002923, SWF-TT-8703",,F,actual,1987,Born,1987-05-01,SeaWorld Orlando,,SeaWorld Orlando,Died,1988-03-12,Pneumonia,1987-05-01,316.0
798,799,Bottlenose,"NOA0002924, SWF-TT-8704",Cassie,F,actual,1987,Born,1987-05-27,SeaWorld Orlando,,SeaWorld Orlando,Died,1988-06-24,Zinc poisoning (swallowed coins thrown in pool),1987-05-27,394.0
799,800,Beluga,"NOA0002918, SWC-DL-8730",Bandit,F,estimate,,Capture,1987-07-19,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (20-Jul-1987) to SeaWorld San Antonio (1990?) to SeaWorld Orlando (05-May-1995)",SeaWorld Orlando,Died,2006-10-26,Degenerative neuropathy,1987-07-19,7039.0
