,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent,count
778,779,Bottlenose,"NOA0002713, SWF-TT-8101",,F,estimate,,Capture,1981-05-11,"Unknown, US",Eastern Florida to SeaWorld Orlando (11-May-1981),SeaWorld Orlando,Died,1985-11-22,"Septicemia, pyometra",1981-05-11,1656.0,1
780,781,Bottlenose,"NOA0002748, RESEARCH X-8",,F,estimate,,Capture,1982-05-28,"Unknown, US",Eastern Florida to SeaWorld Orlando (28-May-1982),SeaWorld Orlando,Died,1982-05-29,"Pneumonitis, pancreatitis",1982-05-28,1.0,1
781,782,Bottlenose,"NOA0002751, RESEARCH X-12",,F,estimate,,Capture,1982-07-21,"Unknown, US",Eastern Florida to SeaWorld Orlando (21-Jul-1982) 2),SeaWorld Orlando,Died,1982-07-30,"Possible septicemia, pancreatitis",1982-07-21,9.0,1
782,783,Bottlenose,"NOA0002752, RESEARCH X-13",,F,estimate,,Capture,1982-07-22,"Unknown, US",Eastern Florida to SeaWorld Orlando (22-Jul-1982),SeaWorld Orlando,Died,1982-07-31,"Pneumonia, septicemia, pancreatitis",1982-07-22,9.0,1
783,784,Killer Whale; Orca,"NOA0003070, SWF-OO-9301",Nootka Iv,F,estimate,1979,Capture,1982-10-01,"Iceland, Héraösflói","Iceland, North Atlantic to Sædyrasafnid/Hafnarfjörður Marine Zoo (??-Oct-1982) to Sealand of the Pacific (??-Mar-1983) to SeaWorld Orlando (07-Jan-1993)",SeaWorld Orlando,Died,1994-09-13,Complications following a stillbirth,1993-01-07,4365.0,1
784,785,Pseudorca,"NOA0002758, SWC-PC-8327",Hana,F,estimate,,Capture,1982-12-31,"Pacific Ocean, Japan","Japan, Pacific Ocean to Kamogawa Sea World (1982 / 1983) to SeaWorld San Diego (20-Mar-1983) to SeaWorld Orlando (??-Oct-1985)",SeaWorld Orlando,Died,1996-05-25,Gastric torsion,1983-03-20,4894.0,1
785,786,Pseudorca,"NOA0002760, SWC-PC-8329",Yaki,F,estimate,,Capture,1982-12-31,"Pacific Ocean, Japan","Japan, Pacific Ocean to Kamogawa Sea World (1982 / 1983) to SeaWorld San Diego (20-Mar-1983) to SeaWorld Orlando (??-Oct-1985)",SeaWorld Orlando,Died,1989-12-05,Hemorrhagic colitis,1983-03-20,2531.0,1
786,787,Pseudorca,"NOA0002800, KSW No. 2, SWC-PC-8527",Suki,F,estimate,1981,Capture,1983-02-21,"Taiji, Japan","Japan, Hatakejiriwan to Holding pens, Taiji (22-Feb-1983) to Kamogawa Sea World (03-Mar-1983) to SeaWorld San Diego (24-Feb-1985)",SeaWorld Orlando,Died,2005-05-25,Euthanasia: Life threatening condition involving pain/suffering,1983-02-21,8129.0,1
787,788,Pseudorca,"NOA0002799, KSW No. 1, SWC-PC-8526",Teri,M,estimate,1981,Capture,1983-02-21,"Taiji, Japan","Japan, Hatakejiriwan to Holding pens, Taiji (22-Feb-1983) to Kamogawa Sea World (03-Mar-1983) to SeaWorld San Diego (24-Feb-1985)",SeaWorld Orlando,Died,2002-07-25,Hemorrhagic pneumonia,1983-02-21,7094.0,1
788,789,Bottlenose,"NOA0003054, 04-937",Starkey,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, location unknown to Unknown holder, Florida (13-Aug-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992)",SeaWorld Orlando,Died,2012-10-15,Epithelial neoplasia (cancer),1983-08-13,10656.0,1
789,790,Bottlenose,"NOA0003056, 04-939",Mimi,F,estimate,1980,Capture,1983-08-13,Florida,"Florida, location unknown to Unknown holder, Florida (20-Oct-1983) to New York Aquarium (??-Jun-1984) to National Aquarium in Baltimore (16-Jul-1991) to New York Aquarium (13-May-1992) to SeaWorld Orlando (09-Nov-1992)",SeaWorld Orlando,Died,2004-03-07,Chronic extensive pneumonia,1983-08-13,7512.0,1
790,791,Bottlenose,"NOA0001293, SWF TT-8304",Darla,F,estimate,1978,Capture,1983-10-07,"Unknown, US",Eastern Florida to SeaWorld Orlando (07-Oct-1983),SeaWorld Orlando,Died,1990-08-01,Uterine rupture,1983-10-07,2490.0,1
792,793,Bottlenose,"NOA0002860, SWC-TT-8727",Sabrina,F,estimate,1982,Capture,1986-01-23,Florida,"Florida, location unknown to Marineland of the Pacific (23-Jan-1986) to SeaWorld San Diego (10-Feb-1987) to SeaWorld Orlando (08-Jun-1996)",SeaWorld Orlando,Died,2013-01-29,Bronchopneumonia,1986-01-23,9868.0,1
795,796,Pseudorca,"NOA0002910, SWF-PC-8726",Zori,F,estimate,,Capture,1987-01-01,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding facility, Japan (~ 1987) to SeaWorld San Diego (12-Apr-1987) to SeaWorld Orlando (??-???-????)",SeaWorld Orlando,Died,1990-04-16,Severe suppurative bronchopneumonia,1987-01-01,1201.0,1
796,797,Pseudorca,"NOA0002954, KSW No. 10, SWC-PC-8826",Cassie,F,estimate,1984,Capture,1987-03-19,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding pens, Taiji (19-Mar-1987) to Kamogawa Sea World (27-Mar-1987) to SeaWorld San Diego (20-Nov-1988) to SeaWorld Orlando (22-Oct-1994?)",SeaWorld Orlando,Died,2008-12-22,-,1987-03-19,7949.0,1
799,800,Beluga,"NOA0002918, SWC-DL-8730",Bandit,F,estimate,,Capture,1987-07-19,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (20-Jul-1987) to SeaWorld San Antonio (1990?) to SeaWorld Orlando (05-May-1995)",SeaWorld Orlando,Died,2006-10-26,Degenerative neuropathy,1987-07-19,7039.0,1
800,801,Pseudorca,"NOA0003107, 890136",Hoshi,F,estimate,1983,Capture,1988-12-01,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding, Japan (??-Dec-1988) to Indianapolis Zoo (30-Mar-1989) to John G. Shedd Aquarium (??-Oct-1991) to Indianapolis Zoo (Spring 1992) to SeaWorld Orlando (22-Oct-1994)",SeaWorld Orlando,Died,1998-03-19,Enterocolic compromise,1988-12-01,3395.0,1
803,804,Bottlenose,"NOA0003092, 1159-TT-02M",Hekili,M,estimate,1986,Capture,1989-11-24,Florida Keys,Florida Keys to Dolphin Connection (24-Nov-1989) to SeaWorld Orlando (16-Feb-1993),SeaWorld Orlando,Died,2012-04-15,Metastatic squamous-cell carcinoma,1989-11-24,8178.0,1
805,806,Beluga,"NOA0005797, SWC-DL-9727",Nanuq,M,estimate,1981,Capture,1990-08-13,"Hudson Bay, Canada","Hudson Bay, Manitoba to Vancouver Aquarium (??-Aug-1990) to SeaWorld San Diego (27-Jul-1997) to SeaWorld San Antonio (12-Feb-2005) to SeaWorld San Diego (20-Jan-2008) to SeaWorld Orlando (01-Jun-2014)",SeaWorld Orlando,Died,2015-02-09,"Infectious myositis, following a jaw fracture",1997-07-27,8946.0,1
823,824,"Pilot, Short-fin","NOA0006759, MMC-GM-0611, R-300",Hundee,F,estimate,1990s,Rescue,2011-05-05,"Cudjoe Key, FL, US","Cudjoe Key, Florida to Marine Mammal Conservancy (10-May-2011) to SeaWorld Orlando (12-Sep-2011)",SeaWorld Orlando,Died,2013-08-26,Acute bacterial sepsis,2011-05-05,844.0,1
824,825,Bottlenose,"NOA0004582, SWF-TT-0101",Davy Ii,M,estimate,1969,Capture,1971-12-22,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to Marineland of Florida (22-Dec-1971) to SeaWorld Orlando (26-Mar-2001) to SeaWorld San Antonio (03-Apr-2004)",SeaWorld San Antonio,Died,2007-06-20,"Perforated stomach, toxemia, septicemia",1971-12-22,12964.0,1
825,826,Bottlenose,"NOA0002612, SWC-TT-7290",Clicker,M,estimate,1969,Capture,1972-12-15,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to SeaWorld San Diego (15-Dec-1972) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,2008-07-09,Chronic renal calculi,1972-12-15,12990.0,1
826,827,Bottlenose,"NOA0002585, SWF-TT-2993",Domino,M,estimate,1969,Capture,1973-09-09,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to SeaWorld Orlando (09-Sep-1973) to SeaWorld Aurora (??-???-????) to SeaWorld San Antonio (13-Oct-1990?) to SeaWorld Aurora (Spr 1991?) to SeaWorld San Antonio (Fall 1991?)",SeaWorld San Antonio,Died,1994-11-21,"Acute cardiovascular collapse, mass in lung",1973-09-09,7743.0,1
827,828,"White-sided, Pacific","NOA0000632, 4-75",Amphitrite,F,estimate,1971,Capture,1975-10-03,"Pacific Ocean, CA, US","Pacific Ocean, California to Steinhart Aquarium (03-Oct-1975) to SeaWorld San Antonio (12-Oct-1995)",SeaWorld San Antonio,Died,1996-08-25,Intestinal volvulus,1975-10-03,7632.0,1
828,829,Bottlenose,"NOA0002677, SWC-TT-7706",Guy,M,estimate,1974,Capture,1977-01-09,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to SeaWorld Orlando (09-Jan-1977) to SeaWorld San Antonio (??-Feb-1988)",SeaWorld San Antonio,Died,1998-08-18,Septicemia,1977-01-09,7891.0,1
829,830,Bottlenose,"NOA0004593, SWF-TT-0102",Hacksaw,M,estimate,1970,Capture,1977-05-19,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to Shark World/Aquatarium (19-May-1977) to Marineland of Florida (07-Mar-1979) to SeaWorld Orlando (26-Mar-2001) to SeaWorld San Antonio (03-Apr-2004)",SeaWorld San Antonio,Died,2010-07-15,Chronic myocarditis,1977-05-19,12110.0,1
830,831,Killer Whale; Orca,"NOA0003035, SWF-OO-9101",Winnie,F,estimate,1976,Capture,1977-10-12,Iceland,"Iceland, North Atlantic, off Ingolfshöfdi to Floating Pen, Grindavík Harbor to Dolfinarium Harderwijk (12-Oct-1977) to Windsor Safari Park (15-Nov-1977) to SeaWorld Orlando (26-Oct-1991) to SeaWorld Aurora (??-Oct-1994) to SeaWorld San Antonio (05-Oct-1999)",SeaWorld San Antonio,Died,2002-04-11,"Blocked intestine, due to a mass of swallowed objects (coins, tile, etc.) from the pool at Windsor",1977-10-12,8947.0,1
831,832,Killer Whale; Orca,"NOA0002504, SWF-OO-7803",Kahana,F,estimate,1977,Capture,1977-10-26,Iceland,"Iceland, North Atlantic, off Tvisker to Floating Pen, Grindavík Harbor (??-Oct-1978) to SeaWorld Orlando (??-???-1978) to SeaWorld Aurora (~ Apr 1985) to SeaWorld Orlando (~ Oct 1985) to SeaWorld Aurora (~ Apr 1986) to SeaWorld Orlando (~ Oct 1986) to SeaWorld Aurora (~ Apr 1987) to SeaWorld San Diego (~ Oct 1987) to SeaWorld Aurora (??-Feb-1988) to SeaWorld San Diego (??-Oct-1989) to SeaWorld San Antonio (??-Feb-1990)",SeaWorld San Antonio,Died,1991-05-14,"Severe trauma, intestinal ganglioneuroma",1977-10-26,4948.0,1
832,833,Killer Whale; Orca,"NOA0002502, SWC-OO-7801",Kotar,M,estimate,1976,Capture,1977-10-26,Iceland,"Iceland, North Atlantic to Floating Pen, Grindavík Harbor (??-Oct-1978) to SeaWorld San Diego (??-???-1978) to SeaWorld Orlando (??-Apr-1982) to SeaWorld San Antonio (??-Feb-1988)",SeaWorld San Antonio,Died,1995-04-01,Skull fracture and severe blood loss,1977-10-26,6366.0,1
833,834,Bottlenose,"NOA0002136, SWC-TTG-7812",Kai,M,estimate,1975,Capture,1978-02-01,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (01-Feb-1978) to Busch Gardens Tampa (~ 1990) to National Aquarium in Baltimore (11-Oct-1992) to SeaWorld Aurora (22-Oct-1997) to SeaWorld San Antonio (26-Apr-1998)",SeaWorld San Antonio,Died,2014-11-19,Pyogranulomatous pneumonia. (Euthanized?),1978-02-01,13440.0,1
835,836,"White-sided, Pacific","NOA0000634, #7802",Thetis,F,estimate,1968,Capture,1978-12-11,"Pacific Ocean, CA, US","Pacific Ocean, California to Steinhart Aquarium (11-Dec-1978) to SeaWorld San Antonio (12-Oct-1995)",SeaWorld San Antonio,Died,2001-12-13,Chronic enteric fungal infection,1978-12-11,8403.0,1
836,837,Beluga,"NOA0002492, SWC-DL-7902",Shadow,M,estimate,,Capture,1979-07-24,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (25-Jul-1979) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1996-05-22,Subcutaneous nocardiosis,1979-07-24,6147.0,1
837,838,"White-sided, Pacific","NOA0002531, SWC-LO-8002",,F,estimate,1975,Capture,1980-01-15,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (15-Jan-1980) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1992-08-09,Mycotic meningoencephalitis,1980-01-15,4590.0,1
838,839,"White-sided, Pacific","NOA0002533, SWC-LO-8004",,F,estimate,,Capture,1980-01-21,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (21-Jan-1980) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1997-08-05,Renal failure,1980-01-21,6406.0,1
839,840,Bottlenose,"NOA0002668, SWF-TT-8001",,F,estimate,1976,Capture,1980-02-07,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to SeaWorld Orlando (07-Feb-1980) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1997-11-04,Pulmonary nocardiosis,1980-02-07,6480.0,1
840,841,Bottlenose,"NOA0002664, SWF-TT-8022",Maggie,F,estimate,1976,Capture,1980-05-13,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to SeaWorld Orlando (13-May-1980) to SeaWorld San Diego (",SeaWorld San Antonio,Died,1990-02-22,"Bacterial/fungal CNS infection, orig. in sinuses",1980-05-13,3572.0,1
841,842,"White-sided, Pacific","NOA0002691, SWC-LO-8013",,F,estimate,,Capture,1980-12-15,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (15-Dec-1980) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1999-05-18,Severe granulomatous pleuritis,1980-12-15,6728.0,1
842,843,"White-sided, Pacific","NOA0002698, SWC-LO-8127",Lorelai,F,estimate,,Capture,1981-02-03,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (03-Feb-1981) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,2011-07-24,Severe acute fungal myocarditis,1981-02-03,11128.0,1
844,845,"White-sided, Pacific","NOA0002718, SWC-LO-8133",,F,estimate,,Capture,1981-12-29,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (29-Dec-1981) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,2000-01-15,Colonic histoplasmosis,1981-12-29,6591.0,1
845,846,"White-sided, Pacific","NOA0002719, SWC-LO-8226",,F,estimate,,Capture,1982-01-08,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (08-Jan-1982) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1990-10-20,Disseminated zygomycosis,1982-01-08,3207.0,1
847,848,Killer Whale; Orca,"NOA0003068, SWT-OO-9376",Haida Ii,F,estimate,1981,Capture,1982-10-01,Iceland,"Iceland, North Atlantic to Hafnarfjordur Aquarium (??-Oct-1982) to Sealand of the Pacific (??-Mar-1983) to SeaWorld San Antonio (08-Jan-1993)",SeaWorld San Antonio,Died,2001-08-01,"Brain abscess, necrosis of cerebrum/fungal infection",1993-01-08,6879.0,1
848,849,Killer Whale; Orca,"NOA0002978, SWO-OO-8951",Samoa,F,estimate,1979,Capture,1983-01-01,Iceland,"Iceland, North Atlantic to Hafnarfjordur Aquarium (??-Nov-1983) to Sao Paulo Playcenter (??-???-1984) to SeaWorld Aurora (03-May-1989) to SeaWorld San Antonio? (??-Oct-1989) to SeaWorld Aurora (??-Feb-1990) to SeaWorld San Antonio (??-Oct-1990)",SeaWorld San Antonio,Died,1992-03-14,Labor complications during late-term miscarriage,1989-05-03,3360.0,1
849,850,Bottlenose,"NOA0001291, SWF-TT-8301",Alice,F,estimate,1978,Capture,1983-06-14,"Atlantic Ocean, FL, US","Florida, Atlantic Ocean to SeaWorld Orlando (14-Jun-1983) to SeaWorld San Antonio (02-Feb-1988)",SeaWorld San Antonio,Died,2000-05-03,"Mycotic meningitis, pneumonia",1983-06-14,6168.0,1
852,853,Beluga,SWC-DL-8728,A.J.,M,estimate,,Capture,1987-07-18,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (??-Jul-1987) to SeaWorld Orlando (~ 1995) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1998-02-06,Encephalopathy,1987-07-18,3856.0,1
853,854,Beluga,"NOA0002917, SWC-DL-8729",,F,estimate,,Capture,1987-07-19,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (??-Jul-1987) to SeaWorld San Antonio (??-???-????)",SeaWorld San Antonio,Died,1995-08-02,"Chronic epicarditis, cardiac arrest",1987-07-19,2936.0,1
854,855,Beluga,"NOA0002919, SWC-DL-8731",Luke,M,estimate,,Capture,1987-07-20,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Diego (??-Jul-1987) to SeaWorld San Antonio (1988?) to SeaWorld Orlando (05-May-1995) to SeaWorld San Antonio (18-Oct-1998)",SeaWorld San Antonio,Died,2000-12-01,Neurological disease,1987-07-20,4883.0,1
855,856,Beluga,NOA0003051,Kia,F,estimate,1984,Capture,1987-07-24,"Hudson Bay, Canada","Hudson Bay, Manitoba to New York Aquarium (29-Jul-1987) to National Aquarium in Baltimore (30-Jun-1988) to SeaWorld San Antonio (19-Feb-1992)",SeaWorld San Antonio,Died,2001-04-27,Pleuropneumonia,1987-07-24,5026.0,1
856,857,Beluga,"NOA0003052, SWT-DL-9277",Sikku,F,estimate,1984,Capture,1987-07-27,"Hudson Bay, Canada","Hudson Bay, Manitoba to New York Aquarium (29-Jul-1987) to National Aquarium in Baltimore (~ 1990) to SeaWorld San Antonio (19-Feb-1992)",SeaWorld San Antonio,Died,2011-03-06,Atherosclerosis,1987-07-27,8623.0,1
857,858,Beluga,"NOA0002948, SWT-DL-8877",Roxanne,F,estimate,,Capture,1988-07-17,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Antonio (??-Jul-1988)",SeaWorld San Antonio,Died,1996-10-01,Acute renal failure,1988-07-17,2998.0,1
858,859,Beluga,"NOA0002950, SWT-DL-8879",Martina,F,estimate,,Capture,1988-07-18,"Hudson Bay, Canada","Hudson Bay, Manitoba to SeaWorld San Antonio (??-Jul-1988)",SeaWorld San Antonio,Died,2009-01-26,Chronic progressive degenerative (...),1988-07-18,7497.0,1
868,869,Beluga,"NOA0006292, YDL0502",Nico,M,estimate,1991,Capture,1996-01-01,"White Sea, Russia","White Sea, Russia to Utrish (~ 1996) to La Feria de Chapultepec (??-May-1998) to Georgia Aquarium (17-Oct-2005) to SeaWorld San Antonio (05-Oct-2009)",SeaWorld San Antonio,Died,2009-10-31,"Meningoencephalitis, pneumonia",2005-10-17,5052.0,1
887,888,Bottlenose,"NOA0002653, SWC-TT-7602",Doc,M,estimate,1946,Capture,1952-01-01,Unknown,Unknown to Quinlan Marine Attractions (??-???-1952) to SeaWorld (11-Sep-1976) to SeaWorld Aurora (??-???-????) to SeaWorld San Diego (??-???-????),SeaWorld San Diego,Died,1984-06-28,"Old age, liver cirrhosis",1952-01-01,11867.0,1
888,889,Bottlenose,NOA0002850,Spray,F,estimate,1956,Capture,1960-05-23,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Marineland of the Pacific (23-May-1960) to SeaWorld San Diego (10-Feb-1987)",SeaWorld San Diego,Died,1996-02-24,Euthanasia,1960-05-23,13060.0,1
889,890,Bottlenose,NOA0002853,Zippy,M,estimate,1956,Capture,1960-06-02,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Marineland of the Pacific (02-Jun-1960) to SeaWorld San Diego (10-Feb-1987)",SeaWorld San Diego,Died,1999-04-05,Euthanasia,1960-06-02,14186.0,1
890,891,Bottlenose,NOA0002854,Echo,F,estimate,1958,Capture,1963-01-01,"Atlantic Ocean, US","Atlantic Ocean, Unknown to Sealand of Cape Cod (??-???-1963) to Mystic Aquarium (~ 1973?) to Aquarium of Niagara Falls (28-Jul-1975) to Marineland of the Pacific (26-Aug-1983) to SeaWorld San Diego (10-Feb-1987)",SeaWorld San Diego,Died,1987-02-24,Hepatic necrosis,1963-01-01,8820.0,1
891,892,"White-sided, Pacific",NOA0002555,,U,estimate,,Capture,1963-01-01,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (??-???-1963)",SeaWorld San Diego,Died,1974-11-01,Old age,1963-01-01,4322.0,1
892,893,Killer Whale; Orca,"NOA0002516, 51",Shamu,F,estimate,1961,Capture,1965-10-31,"Puget Sound, Pacific NW","Puget Sound, Pacific NW to Sea Pen, Puget Sound (01-Nov-1965) to SeaWorld San Diego (20-Dec-1965)",SeaWorld San Diego,Died,1971-08-23,"Septicemia, uterine infection",1965-10-31,2122.0,1
893,894,Bottlenose,"NOA0002849,",Splash,F,estimate,,Capture,1966-03-29,"Atlantic Ocean, FL","Florida, Atlantic Ocean to Marineland of the Pacific (29-Mar-1966) to SeaWorld San Diego (10-Feb-1987)",SeaWorld San Diego,Died,1987-08-12,Interstitial pneumonia,1966-03-29,7806.0,1
895,896,Bottlenose,"NOA0002577, PB716",Pb,U,estimate,,Capture,1967-01-01,"Pacific Ocean, CA, US","Pacific Ocean, California to SeaWorld San Diego (??-???-1967)",SeaWorld San Diego,Died,1976-03-25,Old age,1967-01-01,3371.0,1
896,897,Bottlenose,"NOA0002561, 718",Tina,F,estimate,,Capture,1967-01-01,"Atlantic Ocean, FL","Florida, Atlantic Ocean to SeaWorld San Diego (??-???-1967)",SeaWorld San Diego,Died,1977-12-31,"Pneumonia, pancreatitis",1967-01-01,4017.0,1
897,898,Killer Whale; Orca,"NOA0002517, 94",Kandu,F,estimate,1966,Capture,1967-02-15,"Puget Sound, Pacific NW","Puget Sound, Pacific NW to Seattle Marine Aquarium (??-Feb-1967) to SeaWorld San Diego (16-Dec-1969)",SeaWorld San Diego,Died,1971-06-16,"Pneumonia, liver necrosis",1967-02-15,1582.0,1
898,899,Killer Whale; Orca,"NOA0002515, 72",Kilroy,M,estimate,1966,Capture,1967-02-15,"Puget Sound, Pacific NW","Puget Sound, Pacific NW to Seattle Marine Aquarium (??-Feb-1967) to SeaWorld San Diego (11-Mar-1967) to SeaWorld Aurora (02-May-1971) to SeaWorld San Diego (26-Sep-1971) to SeaWorld Aurora (Spring 1972) to SeaWorld San Diego (17-Sep-1972) to SeaWorld Aurora (Spring 1974) to SeaWorld San Diego (??-Sep-1974) to SeaWorld Aurora (Spring 1976) to SeaWorld San Diego (??-Sep-1976) to SeaWorld Aurora? (24-Apr-1977?) to SeaWorld San Diego (Sep 1977?)",SeaWorld San Diego,Died,1978-09-23,Pneumonia,1967-02-15,4238.0,1
899,900,Bottlenose,NOA0002631,Name Unk.,U,estimate,,Capture,1967-10-01,Atlantic Ocean?,Atlantic Ocean? to SeaWorld San Diego (01-Oct-1967),SeaWorld San Diego,Died,1973-09-20,Pneumonia,1967-10-01,2181.0,1
900,901,Bottlenose,NOA0002630,Name Unk.,U,estimate,,Capture,1967-12-16,Atlantic Ocean?,Atlantic Ocean? to SeaWorld San Diego (16-Dec-1967),SeaWorld San Diego,Died,1974-02-28,Pneumonia,1967-12-16,2266.0,1
901,902,Bottlenose,NOA0002632,Name Unk.,U,estimate,,Capture,1968-10-21,Atlantic Ocean?,Atlantic Ocean? to SeaWorld San Diego (21-Oct-1968),SeaWorld San Diego,Died,1973-10-14,Hepatitis,1968-10-21,1819.0,1
902,903,Bottlenose,"NOA0002711, SWC-TTG-6814",Cindy,F,estimate,1964,Capture,1968-10-21,Gulf of California,Gulf of California to SeaWorld San Diego (21-Oct-1968),SeaWorld San Diego,Died,1996-03-06,"Uterine disease, toxic shock",1968-10-21,9998.0,1
904,905,Bottlenose,"NOA0002603, SWC-TT-6936",Athena,F,estimate,1965,Capture,1969-12-30,Gulf of Mexico,Gulf of Mexico to SeaWorld San Diego (30-Dec-1969),SeaWorld San Diego,Died,1993-05-06,"Thyroid cancer, bronchopneumonia",1969-12-30,8528.0,1
905,906,Killer Whale; Orca,"NOA0002826, SWC-OO-8628",Knootka,F,estimate,1966,Capture,1970-03-01,"Pedder Bay, Canada","Pedder Bay, BC to Pedder Bay holding pen (01-Mar-1970) to Sealand of the Pacific (25-Mar-1970) to Japanese Deer Park (22-Apr-1971) to Seven Seas Texas (??-???-1972) to Marineland of Canada (07-Sep-1975) to SeaWorld San Diego (27-Apr-1986)",SeaWorld San Diego,Died,1990-03-13,Pneumonia,1970-03-01,7317.0,1
906,907,Bottlenose,"NOA0002573, AB044",Ab,U,estimate,,Capture,1970-05-23,Gulf of Mexico,Gulf of Mexico to SeaWorld San Diego (23-May-1970),SeaWorld San Diego,Died,1976-07-05,Liver degeneration,1970-05-23,2235.0,1
907,908,Bottlenose,"NOA0002604, SWC-TT-7043",Stein,M,estimate,1966,Capture,1970-05-23,Gulf of Mexico,Gulf of Mexico to SeaWorld San Diego (23-May-1970),SeaWorld San Diego,Died,2007-05-28,Acute hepatic rupture,1970-05-23,13519.0,1
908,909,Killer Whale; Orca,"NOA0002511, SWC-OO-7601",Winston,M,estimate,1966,Capture,1970-08-08,"Penn Cove, WA, US","Penn Cove, off Whidbey Island to Sea Pen, Penn Cove (08-Aug-1970) to Seattle Marine Aquarium (??-Aug-1970) to Windsor Safari Park (01-Sep-1970) to SeaWorld San Diego (17-Oct-1976)",SeaWorld San Diego,Died,1986-04-28,Chronic cardiovascular failure,1970-08-08,5742.0,1
909,910,Bottlenose,NOA0002626,Name Unk.,U,estimate,,Capture,1971-01-01,Gulf of Mexico?,Gulf of Mexico? to SeaWorld San Diego (??-???-1971),SeaWorld San Diego,Died,1975-05-20,Hepatosis,1971-01-01,1600.0,1
910,911,Bottlenose,NOA0002627,Name Unk.,U,estimate,,Capture,1971-01-01,Gulf of Mexico?,Gulf of Mexico? to SeaWorld San Diego (??-???-1971),SeaWorld San Diego,Died,1975-05-22,Gastroenteritis,1971-01-01,1602.0,1
911,912,Bottlenose,NOA0002628,Name Unk.,U,estimate,,Capture,1971-01-01,Gulf of Mexico?,Gulf of Mexico? to SeaWorld San Diego (??-???-1971),SeaWorld San Diego,Died,1975-05-30,Brain abscess,1971-01-01,1610.0,1
912,913,Bottlenose,"NOA0002712, SWC-TTG-7127",Jethro,M,estimate,1967,Capture,1971-01-30,Gulf of California,Gulf of California to SeaWorld San Diego (30-Jan-1971),SeaWorld San Diego,Died,1990-11-06,Euthanasia,1971-01-30,7220.0,1
913,914,Bottlenose,"NOA0002572, AB162",Ab,U,estimate,,Capture,1971-06-09,Gulf of Mexico,Gulf of Mexico to SeaWorld San Diego (09-Jun-1971),SeaWorld San Diego,Died,1976-09-04,Old age,1971-06-09,1914.0,1
914,915,Bottlenose,"NOA0002605, SWC-TT-7152",Chico,M,estimate,,Capture,1971-06-09,Gulf of Mexico,Gulf of Mexico to SeaWorld San Diego (09-Jun-1971),SeaWorld San Diego,Died,1982-01-20,"Old age, renal failure",1971-06-09,3878.0,1
